Frequency,DB(MAG(V(prb))),PHDEG(V(prb)),
0.01,32.34303894672423,148.29683105603047,
0.012589254117941671,31.804281789274132,144.32247400139454,
0.015848931924611134,31.08036969167281,139.7331483981691,
0.019952623149688795,30.14600982063394,134.89429258389669,
0.0251188643150958,28.998812519775036,130.22619265375928,
0.03162277660168379,27.66168799539995,126.1242558609605,
0.03981071705534973,26.177470045011937,122.88890738804005,
0.05011872336272723,24.599866843189453,120.6943302091781,
0.06309573444801933,22.985858133762655,119.59067372976105,
0.07943282347242815,21.391192163428055,119.5145982944438,
0.1,19.86693266850431,120.29035853829612,
0.12589254117941673,18.4538481516767,121.62549647852585,
0.15848931924611134,17.17342363296525,123.12573908810293,
0.19952623149688797,16.018670785379946,124.35615284386961,
0.251188643150958,14.951454922224169,124.94808336522497,
0.31622776601683794,13.911363188255644,124.70993994271718,
0.39810717055349726,12.834455936821032,123.68330007206087,
0.5011872336272722,11.673982742914221,122.10993644925833,
0.6309573444801932,10.41350727773599,120.32132090725798,
0.7943282347242815,9.06661980083355,118.6027762303468,
1,7.664418562470879,117.09509316422624,
1.2589254117941673,6.237521599811295,115.7725623821617,
1.5848931924611134,4.8010270650452425,114.50051365519222,
1.9952623149688795,3.3496780316045545,113.14104910635773,
2.51188643150958,1.865818024183148,111.64522336200235,
3.1622776601683795,0.3342675380346496,110.07198651828662,
3.9810717055349727,-1.2470302104998294,108.5287804529413,
5.011872336272723,-2.867360507011676,107.08808822030369,
6.3095734448019325,-4.512342491160629,105.74057670037661,
7.943282347242815,-6.174503803771065,104.40926972943166,
10,-7.858324324791313,103.00909914009713,